,Unnamed: 0.1,Unnamed: 0,Event.Id,Investigation.Type,Event.Date,Location,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model,Max.Capacity
10,10,35,20020917X01991,Accident,1982-01-04,NM,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,0.0,0.0,piperPA-28R-200,5
11,11,36,20020917X02410,Accident,1982-01-04,IX,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause,2.0,2.0,50.0,0.0,cessna206,6
12,12,38,20020917X02253,Accident,1982-01-05,AZ,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-22,5
13,13,41,20020917X01993,Accident,1982-01-05,AR,Non-Fatal,Substantial,piper,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,2.0,1.0,50.0,50.0,piperPA-24-250,5
14,14,42,20020917X01658,Accident,1982-01-05,NC,Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,piperPA-28R-200,5
15,15,43,20020917X02156,Accident,1982-01-05,AZ,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessnaTR182,6
16,16,44,20020917X01651,Accident,1982-01-05,AK,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,100.0,0.0,cessnaA185F,6
17,17,47,20020917X01913,Accident,1982-01-06,WY,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,3.0,0.0,0.0,100.0,beech35,5
18,18,48,20020917X01777,Accident,1982-01-06,IL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna152,3
19,19,51,20020917X01964,Accident,1982-01-07,MT,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,cessna210,6
20,20,52,20020917X01659,Accident,1982-01-07,MD,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,beechV35,4
21,21,54,20020917X02414,Accident,1982-01-08,FL,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,cessna172M,4
22,22,55,20020917X01881,Accident,1982-01-08,OH,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-28-140,4
23,23,57,20020917X02484,Accident,1982-01-08,NY,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
24,24,58,20020917X02431,Accident,1982-01-08,MO,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-24-250,5
25,25,59,20020917X01779,Accident,1982-01-08,IL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
26,26,60,20020917X01778,Accident,1982-01-08,OH,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172N,5
27,27,61,20020917X01717,Accident,1982-01-08,SC,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
28,28,63,20020917X02246,Accident,1982-01-09,CA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,4.0,1.0,25.0,75.0,cessnaP210N,6
29,29,64,20020917X01995,Accident,1982-01-09,TX,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna172,4
30,30,67,20020917X01981,Accident,1982-01-09,CO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna182A,4
31,31,68,20020917X02341,Accident,1982-01-10,FL,Non-Fatal,Destroyed,piper,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-23-250,7
32,32,69,20020917X02158,Accident,1982-01-10,AZ,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna172N,5
33,33,74,20020917X01623,Accident,1982-01-10,AK,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause,3.0,3.0,0.0,0.0,cessnaU206,6
34,34,75,20020917X01985,Accident,1982-01-11,MT,Non-Fatal,Destroyed,piper,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,50.0,0.0,piperPA-28-140,4
35,35,77,20020917X01982,Accident,1982-01-11,CO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna180,6
36,36,87,20020917X02575,Accident,1982-01-13,WA,Non-Fatal,Substantial,piper,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-31-350,10
37,37,88,20020917X01966,Accident,1982-01-15,UT,Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,3.0,3.0,100.0,0.0,cessnaT210N,6
38,38,90,20020917X02395,Accident,1982-01-15,FL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172,4
39,39,92,20020917X02576,Accident,1982-01-15,WA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna140,2
40,40,97,20020917X02487,Accident,1982-01-16,VT,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,1.0,0.0,0.0,100.0,cessna150M,2
41,41,98,20020917X02321,Accident,1982-01-17,CA,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,cessna150M,2
42,42,100,20020917X02294,Accident,1982-01-17,AZ,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause,1.0,1.0,0.0,0.0,cessna182P,4
43,43,105,20020917X01624,Accident,1982-01-17,AK,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,2.0,1.0,0.0,50.0,cessna150,2
44,44,107,20020917X01645,Accident,1982-01-17,AK,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna170B,4
45,45,109,20020917X02624,Accident,1982-01-18,WA,Non-Fatal,Destroyed,beech,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,Probable Cause,4.0,4.0,50.0,0.0,beechC23,5
46,46,110,20020917X02257,Accident,1982-01-18,CA,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,cessna172M,4
47,47,111,20020917X01723,Accident,1982-01-18,GA,Fatal(3),Destroyed,piper,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,3.0,3.0,100.0,0.0,piperPA-28-180,5
48,48,114,20020917X02476,Accident,1982-01-19,KS,Fatal(1),Destroyed,mooney,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,mooneyM20F,6
49,49,116,20020917X01978,Accident,1982-01-19,MT,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Cruise,Probable Cause,3.0,3.0,100.0,0.0,cessna177B,5
50,50,121,20020917X02488,Accident,1982-01-19,NH,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
51,51,122,20020917X02425,Accident,1982-01-19,KS,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,2.0,1.0,0.0,50.0,cessna182P,4
52,52,123,20020917X02424,Accident,1982-01-19,IA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,2.0,0.0,0.0,100.0,cessna177RG,5
53,53,126,20020917X01997,Accident,1982-01-19,LA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna150H,2
54,54,127,20020917X01806,Accident,1982-01-19,MI,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Cruise,Probable Cause,2.0,0.0,0.0,100.0,cessna340A,6
55,55,128,20020917X01781,Accident,1982-01-19,MI,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-38-112,2
56,56,131,20020917X02334,Incident,1982-01-20,CA,Incident,Minor,piper,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-31-350,10
57,57,132,20020917X02258,Accident,1982-01-20,CA,Fatal(2),Destroyed,beech,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,beech58,6
58,58,134,20020917X01751,Accident,1982-01-20,MS,Fatal(1),Destroyed,piper,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,piperPA-23-250,7
59,59,135,20020917X02398,Accident,1982-01-20,FL,Fatal(1),Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,2.0,1.0,50.0,50.0,cessna210,6
60,60,136,20020917X01998,Accident,1982-01-20,TX,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
61,61,138,20020917X02619,Accident,1982-01-21,ID,Fatal(4),Destroyed,cessna,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,4.0,4.0,100.0,0.0,cessnaP210N,6
62,62,141,20020917X02295,Accident,1982-01-21,AZ,Non-Fatal,Destroyed,piper,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause,3.0,3.0,33.33333333333333,0.0,piperPA-23-250,7
63,63,142,20020917X02260,Accident,1982-01-21,AZ,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-28-235,5
64,64,145,20020917X01626,Accident,1982-01-21,AK,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,0.0,0.0,cessna207,6
65,65,150,20020917X02171,Accident,1982-01-22,NV,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172M,4
66,66,152,20020917X02622,Accident,1982-01-23,OR,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,cessna172,4
67,67,153,20020917X02259,Accident,1982-01-23,CA,Fatal(2),Destroyed,mooney,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Unknown,Probable Cause,6.0,6.0,33.33333333333333,0.0,mooneyM20C,4
68,68,154,20020917X02000,Accident,1982-01-23,NM,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A,1
69,69,157,20020917X02426,Accident,1982-01-23,KS,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,piperPA-32-300,7
70,70,158,20020917X02400,Accident,1982-01-23,FL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,3.0,0.0,0.0,100.0,cessna150M,2
71,71,159,20020917X02400,Accident,1982-01-23,FL,Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,3.0,0.0,0.0,100.0,piperPA-34-200T,7
72,72,160,20020917X02259,Accident,1982-01-23,CA,Fatal(2),Substantial,piper,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Cruise,Probable Cause,6.0,6.0,33.33333333333333,0.0,piperPA-28-235,5
73,73,161,20020917X02113,Accident,1982-01-23,TX,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,100.0,0.0,cessna150H,2
74,74,164,20020917X02002,Accident,1982-01-23,TX,Non-Fatal,Substantial,piper,1.0,Reciprocating,Unknown,0.0,0.0,1.0,1.0,VMC,Go-around,Probable Cause,2.0,1.0,0.0,50.0,piperPA-38-112,2
75,75,166,20020917X02563,Accident,1982-01-24,MA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,UNK,Approach,Probable Cause,2.0,2.0,0.0,0.0,cessna172,4
76,76,167,20020917X02163,Accident,1982-01-24,AZ,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna172,4
77,77,168,20020917X01895,Accident,1982-01-24,IL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,2.0,0.0,0.0,100.0,cessna172RG,4
78,78,169,20020917X01661,Accident,1982-01-24,GA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,1.0,0.0,0.0,100.0,cessna177,4
79,79,172,20020917X02123,Accident,1982-01-26,OK,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessnaA188B,1
80,80,173,20020917X02485,Accident,1982-01-26,NJ,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28-140,4
81,81,174,20020917X02430,Accident,1982-01-26,MO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,3.0,0.0,0.0,100.0,cessna172N,5
82,82,175,20020917X02427,Accident,1982-01-26,MO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
83,83,176,20020917X01917,Accident,1982-01-26,MT,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,bellanca7GCBC,3
84,84,179,20020917X02491,Accident,1982-01-27,CT,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna152,3
85,85,180,20020917X02164,Accident,1982-01-27,CA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
86,86,181,20020917X01925,Accident,1982-01-27,CO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172N,5
87,87,183,20020917X01742,Accident,1982-01-27,VA,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-38-112,2
88,88,185,20020917X02579,Accident,1982-01-28,OR,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna340A,6
89,89,186,20020917X02428,Accident,1982-01-28,MO,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna172H,4
90,90,188,20020917X02001,Accident,1982-01-28,LA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessnaA185F,6
91,91,189,20020917X01662,Accident,1982-01-28,KY,Non-Fatal,Substantial,piper,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-32-260,6
92,92,190,20020917X02468,Accident,1982-01-29,KS,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,cessna172N,5
93,93,192,20020917X01758,Accident,1982-01-29,SC,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessna150,2
94,94,193,20020917X01919,Accident,1982-01-29,WY,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,2.0,0.0,0.0,100.0,cessna172,4
95,95,195,20020917X02166,Accident,1982-01-30,CA,Non-Fatal,Destroyed,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Climb,Probable Cause,4.0,0.0,0.0,100.0,mooneyM20J,4
96,96,196,20020917X02313,Accident,1982-01-30,CA,Fatal(1),Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,cessnaTR182,6
97,97,197,20020917X02248,Accident,1982-01-30,CA,Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,aeronca7AC,3
98,98,198,20020917X02168,Accident,1982-01-30,NV,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,2.0,0.0,0.0,100.0,cessna177B,5
99,99,199,20020917X02167,Accident,1982-01-30,CA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172,4
100,100,200,20020917X02003,Accident,1982-01-30,AR,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna140,2
101,101,201,20020917X01920,Accident,1982-01-30,UT,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna172,4
102,102,203,20020917X01663,Accident,1982-01-30,GA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172N,5
103,103,204,20020917X02580,Accident,1982-01-30,WA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172P,4
104,104,205,20020917X02547,Accident,1982-01-31,NY,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,2.0,1.0,0.0,50.0,piperPA-22,5
105,105,206,20020917X02482,Accident,1982-01-31,NJ,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna150L,2
106,106,207,20020917X02429,Accident,1982-01-31,MO,Non-Fatal,Substantial,beech,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,2.0,1.0,50.0,50.0,beech36,4
107,107,208,20020917X02344,Accident,1982-01-31,FL,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,0.0,0.0,cessna152,3
108,108,209,20020917X02343,Accident,1982-01-31,FL,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28-161,4
109,109,211,20020917X02005,Accident,1982-01-31,NM,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna152,3
110,110,212,20020917X02004,Accident,1982-01-31,TX,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
111,111,213,20020917X01921,Accident,1982-01-31,CO,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-22,5
112,112,215,20020917X02413,Accident,1982-02-01,FL,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,50.0,0.0,cessna172,4
113,113,217,20020917X02131,Accident,1982-02-01,TX,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,2.0,2.0,100.0,0.0,cessna182,4
114,114,218,20020917X02315,Accident,1982-02-01,CA,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,bellanca7ECA,3
115,115,219,20020917X02170,Accident,1982-02-01,NV,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessnaTR182,6
116,116,223,20020917X02539,Accident,1982-02-02,NY,Fatal(1),Destroyed,piper,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,piperPA-23-250,7
