,Event.Id,Investigation.Type,Event.Date,Location,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
122,20020917X02425,Accident,1982-01-19,KS,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,2.0,1.0,0.0,50.0,cessna182P
123,20020917X02424,Accident,1982-01-19,IA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,2.0,0.0,0.0,100.0,cessna177RG
126,20020917X01997,Accident,1982-01-19,LA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna150H
127,20020917X01806,Accident,1982-01-19,MI,,,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Cruise,Probable Cause,2.0,0.0,0.0,100.0,cessna340A
128,20020917X01781,Accident,1982-01-19,MI,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-38-112
131,20020917X02334,Incident,1982-01-20,CA,,,Incident,Minor,piper,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-31-350
132,20020917X02258,Accident,1982-01-20,CA,,,Fatal(2),Destroyed,beech,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,beech58
134,20020917X01751,Accident,1982-01-20,MS,,,Fatal(1),Destroyed,piper,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,piperPA-23-250
135,20020917X02398,Accident,1982-01-20,FL,,,Fatal(1),Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,2.0,1.0,50.0,50.0,cessna210
136,20020917X01998,Accident,1982-01-20,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
138,20020917X02619,Accident,1982-01-21,ID,,,Fatal(4),Destroyed,cessna,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,4.0,4.0,100.0,0.0,cessnaP210N
141,20020917X02295,Accident,1982-01-21,AZ,,,Non-Fatal,Destroyed,piper,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause,3.0,3.0,33.33333333333333,0.0,piperPA-23-250
142,20020917X02260,Accident,1982-01-21,AZ,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-28-235
145,20020917X01626,Accident,1982-01-21,AK,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,0.0,0.0,cessna207
150,20020917X02171,Accident,1982-01-22,NV,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172M
152,20020917X02622,Accident,1982-01-23,OR,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,cessna172
153,20020917X02259,Accident,1982-01-23,CA,,,Fatal(2),Destroyed,mooney,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Unknown,Probable Cause,6.0,6.0,33.33333333333333,0.0,mooneyM20C
154,20020917X02000,Accident,1982-01-23,NM,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
157,20020917X02426,Accident,1982-01-23,KS,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,piperPA-32-300
158,20020917X02400,Accident,1982-01-23,FL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,3.0,0.0,0.0,100.0,cessna150M
159,20020917X02400,Accident,1982-01-23,FL,,,Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,3.0,0.0,0.0,100.0,piperPA-34-200T
160,20020917X02259,Accident,1982-01-23,CA,,,Fatal(2),Substantial,piper,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Cruise,Probable Cause,6.0,6.0,33.33333333333333,0.0,piperPA-28-235
161,20020917X02113,Accident,1982-01-23,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,100.0,0.0,cessna150H
164,20020917X02002,Accident,1982-01-23,TX,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Unknown,0.0,0.0,1.0,1.0,VMC,Go-around,Probable Cause,2.0,1.0,0.0,50.0,piperPA-38-112
166,20020917X02563,Accident,1982-01-24,MA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,UNK,Approach,Probable Cause,2.0,2.0,0.0,0.0,cessna172
167,20020917X02163,Accident,1982-01-24,AZ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna172
168,20020917X01895,Accident,1982-01-24,IL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,2.0,0.0,0.0,100.0,cessna172RG
169,20020917X01661,Accident,1982-01-24,GA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,1.0,0.0,0.0,100.0,cessna177
172,20020917X02123,Accident,1982-01-26,OK,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessnaA188B
173,20020917X02485,Accident,1982-01-26,NJ,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28-140
174,20020917X02430,Accident,1982-01-26,MO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,3.0,0.0,0.0,100.0,cessna172N
175,20020917X02427,Accident,1982-01-26,MO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
176,20020917X01917,Accident,1982-01-26,MT,,,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,bellanca7GCBC
179,20020917X02491,Accident,1982-01-27,CT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna152
180,20020917X02164,Accident,1982-01-27,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
181,20020917X01925,Accident,1982-01-27,CO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172N
183,20020917X01742,Accident,1982-01-27,VA,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-38-112
185,20020917X02579,Accident,1982-01-28,OR,,,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna340A
186,20020917X02428,Accident,1982-01-28,MO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna172H
188,20020917X02001,Accident,1982-01-28,LA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessnaA185F
189,20020917X01662,Accident,1982-01-28,KY,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-32-260
190,20020917X02468,Accident,1982-01-29,KS,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,cessna172N
192,20020917X01758,Accident,1982-01-29,SC,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessna150
193,20020917X01919,Accident,1982-01-29,WY,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,2.0,0.0,0.0,100.0,cessna172
195,20020917X02166,Accident,1982-01-30,CA,,,Non-Fatal,Destroyed,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Climb,Probable Cause,4.0,0.0,0.0,100.0,mooneyM20J
196,20020917X02313,Accident,1982-01-30,CA,,,Fatal(1),Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,cessnaTR182
197,20020917X02248,Accident,1982-01-30,CA,,,Non-Fatal,Substantial,aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,aeronca7AC
198,20020917X02168,Accident,1982-01-30,NV,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,2.0,0.0,0.0,100.0,cessna177B
199,20020917X02167,Accident,1982-01-30,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172
200,20020917X02003,Accident,1982-01-30,AR,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna140
201,20020917X01920,Accident,1982-01-30,UT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna172
203,20020917X01663,Accident,1982-01-30,GA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172N
204,20020917X02580,Accident,1982-01-30,WA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna172P
205,20020917X02547,Accident,1982-01-31,NY,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,2.0,1.0,0.0,50.0,piperPA-22
206,20020917X02482,Accident,1982-01-31,NJ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna150L
207,20020917X02429,Accident,1982-01-31,MO,,,Non-Fatal,Substantial,beech,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,2.0,1.0,50.0,50.0,beech36
208,20020917X02344,Accident,1982-01-31,FL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,0.0,0.0,cessna152
209,20020917X02343,Accident,1982-01-31,FL,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28-161
211,20020917X02005,Accident,1982-01-31,NM,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna152
212,20020917X02004,Accident,1982-01-31,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
213,20020917X01921,Accident,1982-01-31,CO,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-22
215,20020917X02413,Accident,1982-02-01,FL,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,50.0,0.0,cessna172
217,20020917X02131,Accident,1982-02-01,TX,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,2.0,2.0,100.0,0.0,cessna182
218,20020917X02315,Accident,1982-02-01,CA,,,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,bellanca7ECA
219,20020917X02170,Accident,1982-02-01,NV,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessnaTR182
223,20020917X02539,Accident,1982-02-02,NY,,,Fatal(1),Destroyed,piper,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,piperPA-23-250
224,20020917X02139,Accident,1982-02-02,LA,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,2.0,2.0,100.0,0.0,cessna150G
225,20020917X02581,Accident,1982-02-02,WA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessnaU206G
226,20020917X02007,Accident,1982-02-02,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessnaT210N
228,20020917X02297,Accident,1982-02-03,AZ,,,Fatal(1),Destroyed,mooney,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,1.0,1.0,100.0,0.0,mooneyM20J
